company_name,fyear,status_label,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_LOW_MODERATE_RISK,2001,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2002,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2003,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2004,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2005,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2006,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2007,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2008,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2009,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
C_LOW_MODERATE_RISK,2010,alive,90000,90000,45000,45000,5000,500000,45000,90000,45000,95000,500000,500000,490000,45000,5050000,90000,990000,90000
