company_name,fyear,status_label,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_EDGE_CASE,2001,alive,450000,0,0,0,0,-10000,0,0,0,1100000,0,0,0,0,0,1000000,600000,1010000
C_EDGE_CASE,2002,alive,455000,0,0,0,0,5000,0,0,0,1110000,0,0,0,0,0,1050000,600000,1045000
C_EDGE_CASE,2003,alive,460000,0,0,0,0,20000,0,0,0,1120000,0,0,0,0,0,1100000,600000,1080000
C_EDGE_CASE,2004,alive,431433,0,0,0,0,26405,0,0,0,1106867,0,0,0,0,0,999147,596469,993152
C_EDGE_CASE,2005,alive,461641,0,0,0,0,26008,0,0,0,1100772,0,0,0,0,0,999202,602280,1006138
C_EDGE_CASE,2006,alive,444027,0,0,0,0,-14263,0,0,0,1108676,0,0,0,0,0,999004,598046,1006138
C_EDGE_CASE,2007,alive,432562,0,0,0,0,1565,0,0,0,1103956,0,0,0,0,0,1009537,600739,993742
C_EDGE_CASE,2008,alive,456603,0,0,0,0,-25546,0,0,0,1091250,0,0,0,0,0,999273,595568,1000873
C_EDGE_CASE,2009,alive,452135,0,0,0,0,14263,0,0,0,1107168,0,0,0,0,0,995190,595863,1002367
C_EDGE_CASE,2010,alive,432030,0,0,0,0,18232,0,0,0,1102978,0,0,0,0,0,1009261,604065,995070
C_EDGE_CASE,2011,alive,433900,0,0,0,0,-15116,0,0,0,1106105,0,0,0,0,0,1008273,604120,1007763
C_EDGE_CASE,2012,alive,463347,0,0,0,0,27292,0,0,0,1109920,0,0,0,0,0,1005632,604092,999031
C_EDGE_CASE,2013,alive,460753,0,0,0,0,-23397,0,0,0,1106327,0,0,0,0,0,999121,604112,997894
C_EDGE_CASE,2014,alive,438228,0,0,0,0,-8072,0,0,0,1106893,0,0,0,0,0,1009664,603242,998531
C_EDGE_CASE,2015,alive,450838,0,0,0,0,6442,0,0,0,1092621,0,0,0,0,0,1005282,604118,999176
C_EDGE_CASE,2016,alive,443060,0,0,0,0,-25255,0,0,0,1105435,0,0,0,0,0,994032,597148,992081
C_EDGE_CASE,2017,alive,443160,0,0,0,0,-20624,0,0,0,1092148,0,0,0,0,0,999146,600082,1004558
C_EDGE_CASE,2018,alive,432062,0,0,0,0,7493,0,0,0,1099337,0,0,0,0,0,992994,603851,998547
C_EDGE_CASE,2019,alive,467303,0,0,0,0,16842,0,0,0,1094601,0,0,0,0,0,1002595,602556,1001634
C_EDGE_CASE,2020,alive,454529,0,0,0,0,-13624,0,0,0,1105280,0,0,0,0,0,1006389,604069,997797
C_EDGE_CASE,2021,alive,441794,0,0,0,0,23281,0,0,0,1106141,0,0,0,0,0,1000296,604643,1002671
C_EDGE_CASE,2022,alive,457870,0,0,0,0,-10390,0,0,0,1108902,0,0,0,0,0,1006060,601604,1007905
C_EDGE_CASE,2023,alive,462673,0,0,0,0,-28161,0,0,0,1108564,0,0,0,0,0,1007990,603698,1009249
C_EDGE_CASE,2024,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2025,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2026,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2027,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2028,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2029,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2030,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2031,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2032,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2033,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2034,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2035,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2036,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2037,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2038,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2039,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2040,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2041,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2042,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
C_EDGE_CASE,2043,alive,190000,0,0,80000,60000,120000,15000,15000,15000,90000,60000,60000,60000,15000,450000,450000,650000,450000
