company_name,fyear,status_label,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,Division,MajorGroup
C_1,1999.0,alive,511267,740998,833107,180447,18373,70658,89031,191226,336.01800000000003,163816,35.163000000000004,201026,128.34799999999998,1024333,372.7519,401483,1024333,935302,D,37
C_1,2000.0,alive,485856,701.8539999999999,713811,179987,18577,45.79,64367,160444,320.59,125392,18531,204065,115187,874255,377.11800000000005,361642,874255,809888,D,37
C_1,2001.0,alive,436656,710199,526477,217699,22496,4711,27207,112244,286588,150464,-58.93899999999999,139.60299999999998,77528,638721,364.5928,399964,638721,611514,D,37
C_1,2002.0,alive,396412,686.6210000000001,496747,164658,27172,3573,30745,109.59,259954,203575,-12.41,124106,66322,606337,143.3295,391633,606337,575592,D,37
C_1,2003.0,alive,432204,709.2919999999999,523302,248666,26.68,20811,47.49100000000001,128656,247245,131261,3504,131884,104661,651.9580000000001,308.9071,407608,651.9580000000001,604467,D,37
C_1,2004.0,alive,474542,732.23,598172,227159,27.95,33824,61774,149.67600000000002,255477,160025,15453,142.45,127121,747.8480000000001,522.6794,417486,747.8480000000001,686074,D,37
C_1,2005.0,alive,624.4540000000001,978819,704081,318576,29222,62655,91877,193203,323592,187788,35.163000000000004,183.55,136.27200000000002,897284,882.6283,556102,897284,805.4069999999999,D,37
C_1,2006.0,alive,645721,1067633,837171,253611,32199,86708,118907,223998,342593,256506,58.66,242153,181691,1061169,1226.1925,573.39,1061169,942262,D,37
C_1,2007.0,alive,783431,1362.01,1080895,507918,39952,128.57,168.52200000000002,304024,435608,218499,75.14399999999999,318184,202472,1384919,747.5434,776755,1384919,1216397,D,37
C_1,2008.0,alive,851312,1377511,1110677,392984,40551,125529,166.08,313.29900000000004,477424,254418,78.65100000000001,385851,227.3,1423976,571.5948,720.6160000000001,1423976,1257896,D,37
C_1,2009.0,alive,863429,1501042,1065902,336191,38.93,95415,134345,286249,496904,325.55,44628,389641,238466,1352151,777.8348,754692,1352151,1217806,D,37
